path,module,exists,size,title,charset_meta,h1_count,suspicious,broken_internal_links,notes
bible_study/OT/minor_prophets/撒迦利亞書.html,bible_study,1,2448,撒迦利亞書 | 小先知書 - 舊約綜合解讀,UTF-8,1,,0,
bible_study/OT/minor_prophets/彌迦書.html,bible_study,1,2419,彌迦書 | 小先知書 - 舊約綜合解讀,UTF-8,1,,0,
bible_study/OT/poetry/index.html,bible_study,1,2821,詩歌智慧書 | 舊約綜合解讀,UTF-8,1,,0,
bible_study/OT/poetry/約伯記.html,bible_study,1,2433,約伯記 | 詩歌智慧書 - 舊約綜合解讀,UTF-8,1,,0,
bible_study/OT/poetry/雅歌.html,bible_study,1,2424,雅歌 | 詩歌智慧書 - 舊約綜合解讀,UTF-8,1,,0,
bible_study/OT/poetry/傳道書.html,bible_study,1,2436,傳道書 | 詩歌智慧書 - 舊約綜合解讀,UTF-8,1,,0,
bible_study/OT/poetry/詩篇.html,bible_study,1,2428,詩篇 | 詩歌智慧書 - 舊約綜合解讀,UTF-8,1,,0,
bible_study/OT/poetry/箴言.html,bible_study,1,2426,箴言 | 詩歌智慧書 - 舊約綜合解讀,UTF-8,1,,0,
bible_study/ot_history_landing.html,bible_study,1,441,歷史書 (12卷) | 已移至 OT/history/index.html,UTF-8,0,,0,NO_H1
bible_study/ot_landing.html,bible_study,1,430,舊約綜合解讀 (39卷) | 已移至 OT/index.html,UTF-8,0,,0,NO_H1
bible_study/ot_law_landing.html,bible_study,1,424,律法書 (5卷) | 已移至 OT/law/index.html,UTF-8,0,,0,NO_H1
bible_study/ot_major_prophets_landing.html,bible_study,1,471,大先知書 (5卷) | 已移至 OT/major_prophets/index.html,UTF-8,0,,0,NO_H1
bible_study/ot_minor_prophets_landing.html,bible_study,1,472,小先知書 (12卷) | 已移至 OT/minor_prophets/index.html,UTF-8,0,,0,NO_H1
bible_study/ot_poetry_landing.html,bible_study,1,442,詩歌智慧書 (5卷) | 已移至 OT/poetry/index.html,UTF-8,0,,0,NO_H1
bible_study/parallel_mode_v2.html,bible_study,1,682,對照模式已併入 v3,UTF-8,0,,0,NO_H1
bible_study/parallel_mode_v3.html,bible_study,1,27758,聖經對照模式 v3（離線版）,UTF-8,0,,0,NO_H1
bible_study/reader.html,bible_study,1,15129,聖經閱覽器 - Bible100,UTF-8,0,,0,NO_H1
bible_study/reader_經文示範.html,bible_study,1,5184,聖經經文 - 創世記第1章,UTF-8,1,,0,
bible_study/refined_bible_reader.html,bible_study,1,37087,精讀聖經 - Bible100,UTF-8,0,,0,NO_H1
bible_study/search_reader.html,bible_study,1,21358,聖經搜索閱讀器,UTF-8,0,,0,NO_H1
bible_study/sidebar.html,bible_study,1,38336,聖經研讀 - Sidebar 完整版（無 JS 機關）,UTF-8,0,,0,
bible_study/simple-exegesis-reader.html,bible_study,1,30230,釋經閱讀器 - 簡化版,UTF-8,0,,0,NO_H1
bible_study/SOLUTION_解決方案.html,bible_study,1,11974,🎯 Sidebar 問題解決方案,UTF-8,1,SOLUTION,3,BROKEN_LINKS
bible_study/TEST_直接測試.html,bible_study,1,5080,🎯 直接測試 v3 Sidebar,UTF-8,1,test,0,
